,OID_,X,Site_ID,Date,Latitude,Longitude,Parameter,WQ_Value,Units,Method_Description,B2,B3,B4,B5,B6,B7,SCL,NDCI,TwoBDA,MCI,ThreeBDA,NDCI_alt,TwoBDA_alt,MCI_alt,ThreeBDA_a,areasqkm,huc2,region
1,0,1,LRL_BHR20002,7/29/2019,37.30638889,-83.45944444,Chl,6.4,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",333,367,202,184,162,180,6,-0.046632124,0.910891089,-38.8,-162.0004843,-0.289982425,0.550408719,-296.76,-184.0022257,421966.31,5,Ohio Region
2,1,18,LRL_BRR20005,9/25/2019,36.81138889,-86.07,Chl,40,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",237,357,228,271,129,133,6,0.086172345,1.188596491,-8.48,-128.9993041,-0.220512821,0.638655462,-190.92,-271.0015848,421966.31,5,Ohio Region
3,2,21,LRL_BRR21001,9/25/2019,36.91444444,-86.05638889,Chl,34.5,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",236,529,638,828,1083,1457,6,0.129604366,1.297805643,421.4,-1082.99964,0.093401885,1.206049149,324.28,-827.999677,421966.31,5,Ohio Region
4,6,30,LRL_BVR20003,9/12/2019,39.50713889,-84.99551667,Chl,24.25,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",476,505,297,304,273,253,6,0.011647255,1.023569024,-5.48,-272.9999225,-0.259351621,0.588118812,-352.72,-304.0013868,421966.31,5,Ohio Region
5,8,39,LRL_CBR20001,8/8/2019,39.94932861,-83.74582639,Chl,61.25,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",536,521,333,393,293,291,6,0.082644628,1.18018018,39.2,-292.9995415,-0.220140515,0.63915547,-280.16,-393.0010836,421966.31,5,Ohio Region
6,9,44,LRL_CBR20003,8/8/2019,39.97583333,-83.72722222,Chl,79.33333333,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",746,839,593,737,480,469,6,0.108270677,1.242833052,85.24,-479.9996705,-0.171787709,0.706793802,-319.44,-737.0004944,421966.31,5,Ohio Region
7,10,49,LRL_CBR20009,8/8/2019,39.96527778,-83.74305556,Chl,73.25,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",618,673,467,577,421,417,6,0.105363985,1.235546039,86.08,-420.9995918,-0.180701754,0.693907875,-275.12,-577.0006554,421966.31,5,Ohio Region
8,11,57,LRL_CCK20001,8/8/2019,39.48694444,-84.05722222,Chl,53,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",384,458,269,307,245,263,6,0.065972222,1.141263941,25.52,-244.9995399,-0.25997249,0.587336245,-297.72,-307.0015341,421966.31,5,Ohio Region
9,12,91,LRL_CHL20001,9/13/2019,39.71794722,-87.07232778,Chl,44.33333333,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",472,466,286,376,221,257,6,0.135951662,1.314685315,56.2,-220.9991631,-0.239361702,0.613733906,-244.8,-376.0013506,421966.31,5,Ohio Region
10,13,94,LRL_CHL20002,9/13/2019,39.7358,-87.06450556,Chl,55.25,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",596,659,434,516,376,402,6,0.086315789,1.188940092,51.84,-375.9996338,-0.205855444,0.658573596,-327.96,-516.0007867,421966.31,5,Ohio Region
11,16,106,LRL_CMR20001,8/8/2020,39.4875,-86.91527778,Chl,35,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",243,330,171,184,94,161,6,0.036619718,1.076023392,-27.04,-93.99958683,-0.317365269,0.518181818,-264.12,-184.0028177,421966.31,5,Ohio Region
12,17,109,LRL_CMR20002,8/8/2020,39.45722222,-86.86888889,Chl,83,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",292,427,227,336,170,191,6,0.193605684,1.480176211,79.36,-169.9985709,-0.305810398,0.531615925,-265.52,-336.0020634,421966.31,5,Ohio Region
13,19,116,LRL_CMR20041,8/8/2020,39.47777778,-86.9,Chl,35.25,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",236,329,155,202,118,151,6,0.131652661,1.303225806,27.76,-117.9984989,-0.359504132,0.47112462,-265.44,-202.0034121,421966.31,5,Ohio Region
14,20,129,LRL_EFR20001,8/8/2019,39.0215,-84.15191667,Chl,47.75,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",388,467,304,331,204,256,6,0.042519685,1.088815789,-25,-203.9997317,-0.211413748,0.650963597,-260.92,-331.0011481,421966.31,5,Ohio Region
15,21,138,LRL_EFR20024,8/8/2019,39.01947222,-84.12941667,Chl,43,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",503,619,459,498,340,361,6,0.040752351,1.08496732,-22.88,-339.9998294,-0.148423006,0.741518578,-247.12,-498.0005631,421966.31,5,Ohio Region
16,22,147,LRL_EFR21001,8/8/2019,39.00280556,-84.0885,Chl,44.75,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",383,467,319,406,285,312,6,0.12,1.272727273,69.32,-284.9993283,-0.188295165,0.683083512,-191.92,-406.0009935,421966.31,5,Ohio Region
17,24,155,LRL_GRR20002,6/8/2020,37.2475,-85.29138889,Chl,9.475,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",485,576,418,473,460,493,6,0.061728395,1.131578947,76.84,-459.9997218,-0.158953722,0.725694444,-232.16,-473.0006562,421966.31,5,Ohio Region
18,25,158,LRL_GRR20003,6/8/2020,37.205,-85.24388889,Chl,22.5,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",400,550,368,381,324,368,6,0.017356475,1.035326087,-9.88,-323.9999073,-0.198257081,0.669090909,-303.68,-381.0008992,421966.31,5,Ohio Region
19,28,222,LRL_PRR20001,8/16/2019,38.43466111,-86.70530556,Chl,9.825,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",854,863,500,509,544,578,6,0.008919722,1.018,31.88,-543.9999646,-0.266324285,0.579374276,-617.88,-509.0008413,421966.31,5,Ohio Region
20,30,231,LRL_PRR21001,8/16/2019,38.37666667,-86.6875,Chl,13.75,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",493,595,360,377,408,452,6,0.023066486,1.047222222,41.96,-407.9998747,-0.246073298,0.605042017,-391.96,-377.0010971,421966.31,5,Ohio Region
21,31,233,LRL_PRR21002,8/21/2019,38.39665833,-86.60236944,Chl,15.775,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",478,546,313,321,333,359,6,0.012618297,1.025559105,18.4,-332.9999204,-0.271245634,0.573260073,-395,-321.0013634,421966.31,5,Ohio Region
22,32,235,LRL_PRR21003,8/21/2019,38.40694167,-86.70236389,Chl,9.45,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",468,523,315,346,389,430,6,0.046898638,1.098412698,69.48,-388.9997156,-0.248210024,0.602294455,-335.44,-346.0012626,421966.31,5,Ohio Region
23,34,267,LRL_TAR20001,8/21/2019,38.00283333,-85.30566667,Chl,19.75,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",312,377,213,232,220,266,6,0.042696629,1.089201878,22.64,-219.9996155,-0.277966102,0.564986737,-268.4,-232.0020423,421966.31,5,Ohio Region
24,35,268,LRL_TAR20001,6/18/2020,38.00283333,-85.30566667,Chl,73.05,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",339,419,297,417,106,82,6,0.168067227,1.404040404,20.68,-105.9990311,-0.170391061,0.708830549,-123.44,-417.0009804,421966.31,5,Ohio Region
25,36,270,LRL_TAR20003,8/21/2019,38.00138889,-85.22972222,Chl,23,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",428,525,363,433,382,412,6,0.087939698,1.192837466,79.88,-381.9995546,-0.182432432,0.691428571,-228.24,-433.0008501,421966.31,5,Ohio Region
26,37,271,LRL_TAR20003,6/18/2020,38.00138889,-85.22972222,Chl,48.3,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",308,437,316,479,567,723,6,0.205031447,1.515822785,293.52,-566.9989231,-0.160690571,0.723112128,-90.76,-479.0008762,421966.31,5,Ohio Region
27,38,273,LRL_TAR20006,8/21/2019,37.97122222,-85.17098333,Chl,71.66666667,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",513,712,540,689,432,455,6,0.121236778,1.275925926,92.84,-431.9995995,-0.137380192,0.758426966,-188.56,-689.0004474,421966.31,5,Ohio Region
28,39,274,LRL_TAR20006,6/18/2020,37.97122222,-85.17098333,Chl,49,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",363,592,352,550,1,1,6,0.219512195,1.5625,15.48,-0.998977273,-0.254237288,0.594594595,-270.24,-550.0011517,421966.31,5,Ohio Region
29,40,277,LRL_TAR21001,8/21/2019,37.99266667,-85.293275,Chl,28,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",446,534,350,374,330,348,6,0.033149171,1.068571429,13.6,-329.9998167,-0.208144796,0.655430712,-299.2,-374.0009845,421966.31,5,Ohio Region
30,41,278,LRL_TAR21001,6/18/2020,37.99266667,-85.293275,Chl,52.925,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",290,423,238,311,1,1,6,0.132969035,1.306722689,-50.24,-0.999013753,-0.279878971,0.562647754,-265.64,-311.0018376,421966.31,5,Ohio Region
31,42,281,LRL_TAR21101,6/18/2020,38.02222222,-85.28611111,Chl,75,mg/m3,"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",258,349,202,269,1,1,6,0.142250531,1.331683168,-37.52,-0.998766977,-0.266787659,0.578796562,-204.6,-269.0020852,421966.31,5,Ohio Region
32,111,1119,NWIS_1100220,9/29/2020,42.66241667,-71.2422222,Chl,12.15,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",178,195,122,175,113,153,6,0.178451178,1.43442623,48.32,-112.9975176,-0.230283912,0.625641026,-87.4,-175.0030685,198829.02,1,New England Region
33,116,1148,NWIS_1100806,6/8/2020,42.8242222,-70.9741667,Chl,7.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",381,341,289,304,235,254,6,0.02529511,1.051903114,-13.08,-234.9998293,-0.082539683,0.847507331,-78.64,-304.0005277,198829.02,1,New England Region
34,117,1149,NWIS_1100806,7/6/2020,42.8242222,-70.9741667,Chl,6.45,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1359,1344,1296,1333,1622,1721,6,0.014073792,1.028549383,206.52,-1621.999979,-0.018181818,0.964285714,-55.92,-1333.000028,198829.02,1,New England Region
35,121,1157,NWIS_1100823,9/29/2020,42.8330833,-70.9304167,Chl,11.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",147,157,82,77,21,53,6,-0.031446541,0.93902439,-36.72,-21.00079189,-0.313807531,0.522292994,-132.6,-77.0058257,198829.02,1,New England Region
36,132,1197,NWIS_1100877,7/1/2020,42.81716667,-70.8215833,Chl,7.05,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1667,1563,1349,1416,1353,1392,6,0.024231465,1.04966642,69.08,-1352.999965,-0.073489011,0.863083813,-319.84,-1416.000101,198829.02,1,New England Region
37,136,1261,NWIS_1127560,9/29/2020,41.521,-72.079,Chl,23.45,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",695,723,644,796,1003,1153,6,0.105555556,1.236024845,338.68,-1002.999703,-0.057790783,0.890733057,-26.44,-796.0001697,198829.02,1,New England Region
38,142,1291,NWIS_11277511,9/29/2020,41.426,-72.095,Chl,10.9,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1151,1312,1220,1396,1807,2107,6,0.067278287,1.144262295,481.24,-1806.999897,-0.036334913,0.929878049,-31.52,-1396.000057,198829.02,1,New England Region
39,143,2019,NWIS_11455315,4/10/2019,38.2430111,-121.684286,Chl,17.2,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",528,735,674,687,444,458,6,0.0095518,1.019287834,-106.6,-443.9999719,-0.043293116,0.917006803,-95.56,-687.0001231,436625.32,18,California Region
40,166,2348,NWIS_1194755,9/14/2020,41.345,-72.375,Chl,13.5,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",299,474,382,456,670,674,6,0.088305489,1.193717277,223.76,-669.9995752,-0.107476636,0.805907173,-104.96,-456.0005081,198829.02,1,New England Region
41,167,2373,NWIS_1194798,6/16/2020,41.309,-72.349,Chl,5.1,ug/l,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1033,1103,1071,1056,972,994,6,-0.007052186,0.985994398,-66.48,-972.0000133,-0.014719411,0.970988214,-65.84,-1056.000027,198829.02,1,New England Region
