"Method_Description","huc2","Algorithms","R_Squared","Slope","Intercept","P_Value","CV_R_Squared","RMSE","MAE","freq"
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1,"WQ_Value_log_TwoBDA",0.00212757637931814,0.115030699110526,1.53818706267932,0.7004269441007,0.0826896130544801,0.942684066714873,0.707723896360653,72
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",2,"WQ_Value_log_NDCI",0.172694555969491,2.26220490701838,2.14919533222463,0.0278593935882703,0.334315469239991,1.15245817461915,0.82795545238662,28
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",3,"WQ_Value_log_NDCI",0.45755997026004,7.52191881559384,2.75707254732367,5.08666275609106e-08,0.500120891647849,0.624636914549981,0.463427493826359,51
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",4,"WQ_Value_NDCI",0.159918091782805,-8.06457796529189,2.01766708247379,0.0233463285484793,0.226602153943367,1.08757135296349,0.851007084344635,32
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",8,"WQ_Value_log_ThreeBDA",0.00741995849997587,-0.000147824562329446,1.59907416744204,0.751094087004424,0.474335999703679,1.03318574718103,0.915704524754681,16
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",9,"WQ_Value_B5",0.228763885994304,0.0600276763334668,-0.120966572178494,0.0243461779731802,0.344669792498351,48.2661453145823,31.7566477609816,22
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",10,"WQ_Value_MCI",0.735794793305875,0.286049560391811,25.7301201837053,4.08736246252346e-18,0.707898591158026,59.3713271248405,36.5823351019397,59
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",11,"WQ_Value_log_NDCI",0.235628730287909,3.38093417471168,2.10524521845508,0.000172380545275982,0.262508557383685,0.704817201791562,0.578931425008587,55
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",12,"WQ_Value_log_NDCI",0.564743687250843,9.33331385401888,2.59422391601928,5.23839810088979e-15,0.577776467135135,0.606523762144022,0.472063287030827,76
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",14,"WQ_Value_log_TwoBDA",0.210290329636647,5.18644438590858,-3.10232481026944,0.099104193795863,0.487043674519717,1.43137936001145,1.10627982950533,14
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",17,"WQ_Value_log_MCI",0.725519670032602,0.011320025505294,1.44443127573214,4.93842348675334e-07,0.758143225354252,0.807827187907204,0.613407587564735,22
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",18,"WQ_Value_log_NDCI",0.641818584483393,6.40105540490369,2.1977726280152,1.20614339057259e-89,0.646264420735741,1.09683607802996,0.860427115585971,395
"Chlorophyll a, phytoplankton, chromatographic-spectrophotometric method, micrograms per liter",2,"WQ_Value_NDCI",0.117423569859717,15.4145211196728,2.89554560080764,0.0801637686690359,0.256768663918398,2.99198412269297,2.26731266904086,27
"Chlorophyll a, water, fluorometric method, corrected, micrograms per liter",16,"WQ_Value_log_B5",0.00354695932906348,-0.000434696454179794,2.63028046986096,0.750294019986925,0.189250282485906,1.51726629530455,1.16269808023312,31
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",4,"WQ_Value_TwoBDA",0.239963725447415,9.759350888966,-3.55973073703136,0.00814461123880524,0.317211397482838,3.78757414300623,2.7183919530985,28
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",5,"WQ_Value_log_NDCI",0.535526022018765,9.22057542102969,2.64739168751579,2.47083154903175e-08,0.562772083155268,0.529532192735744,0.439738082956086,43
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",7,"WQ_Value_log_TwoBDA",0.039730053884095,1.15902403129123,0.321393322126212,0.040517193204976,0.128592843446629,0.933539611788079,0.715295210485098,106
"Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll",17,"WQ_Value_MCI",0.626861062373532,0.171063995217011,17.7219953600697,0.000257408900566808,0.755680323159002,12.3672434442511,9.77887814351527,16
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",4,"WQ_Value_MCI",0.192423316164063,-0.00955394002185241,3.4149053190638,0.0891833849635894,0.442588628864672,2.58555352370381,1.96990471396803,16
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",7,"WQ_Value_TwoBDA",0.000768620325329664,-1.42800380380174,10.4203234623214,0.837795809241449,0.0749837549791834,7.23564800777982,5.88522129106391,57
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",10,"WQ_Value_ThreeBDA",0.158387973418438,-0.00433648925261148,1.57071270239902,0.00382551232938855,0.228647631358534,4.0865645299177,3.02679496085728,51
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",11,"WQ_Value_log_B6",0.142968378854038,-0.000566151647798836,0.808321396909637,0.0910212110692418,0.275092180087039,0.727372659223392,0.62385165401799,21
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",12,"WQ_Value_TwoBDA",0.335786915757461,7.88859713969292,-4.94925137337305,6.32213407412147e-08,0.354309409161756,1.60653698415231,1.33480258110687,74
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",16,"WQ_Value_log_MCI",0.637034123906336,0.0156839242056912,-2.23489392777262,7.19533312750837e-05,0.661126937152908,0.660067727521992,0.520648651506707,18
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",17,"WQ_Value_log_MCI",0.576594634428708,0.00393776972468911,1.43606686933185,0.000645284382285821,0.651904835645555,0.315869815116198,0.230599580931049,16
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",18,"WQ_Value_log_NDCI",0.181599962455031,2.24991178907337,0.0381134361459689,1.84891701840202e-05,0.20789732484668,0.996956968597297,0.767207954324677,94
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",10,"WQ_Value_ThreeBDA",0.162162563431832,-0.0176241347624094,6.20181139761649,0.0033933040995383,0.210762078244799,16.1612869744626,11.9330541272417,51
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",11,"WQ_Value_ThreeBDA",0.115510560517878,0.00429686691087364,10.9807825320529,0.131710119196275,0.254654337396807,6.00546209406764,4.7606247058267,21
"Chlorophylls, water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, micrograms per liter",12,"WQ_Value_TwoBDA",0.246227468883068,27.4776186111646,-14.8119418126797,6.92319477072247e-06,0.254389130720282,6.90384878240249,5.79691672424348,74
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",10,"WQ_Value_MCI",0.224208438777474,0.00420149323126745,1.60754604788001,0.000449068033639628,0.421777405805233,2.68796098504942,1.36160974090998,51
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",11,"WQ_Value_log_ThreeBDA",0.021285685482459,0.000155385474402581,-0.767630565112647,0.528019794067121,0.130547866454505,0.56139253925834,0.474848346874787,21
"Phycocyanin fluorescence (fPC), water, in situ, concentration estimated from reference material, micrograms per liter as phycocyanin",12,"WQ_Value_TwoBDA",0.542140401153509,4.01129533021758,-3.08465981764483,3.77430711077964e-13,0.561101443441912,0.549321547127725,0.417294875544876,70
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",10,"WQ_Value_B5",0.294024422033944,0.0046224766184699,-0.995418710273388,3.95594538621139e-05,0.413202618962846,2.37721810383307,1.3829866854107,51
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",11,"WQ_Value_log_ThreeBDA",0.0247306381696402,0.00018256150735237,-0.744563979947396,0.496009408523694,0.128719501717219,0.583256285388193,0.488847425015049,21
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",12,"WQ_Value_TwoBDA",0.478231900037282,4.57989632341356,-3.55590808786261,1.25644531292346e-11,0.521819498743049,0.690275698670469,0.526357924587946,73
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",16,"WQ_Value_MCI",0.769319603859506,0.0182261553363052,2.60954104354411,1.86457486251003e-08,0.832847857478978,1.10487040332614,0.801172019236768,24
"Phycocyanin relative fluorescence (fPC), water, in situ, relative fluorescence units (RFU)",18,"WQ_Value_MCI",0.749733680797137,0.00145986655790861,0.296885147334548,0.000271777126812533,0.607426720867882,0.0667694744358499,0.0561466401087153,12
"Phycocyanins (cyanobacteria), water, in situ, in vivo fluorescence, in vivo fluorescence units",18,"WQ_Value_log_NDCI",0.297563863189198,3.07154219307624,-0.367754744545118,2.0643641863211e-22,0.301645192469295,1.00818198877518,0.790891091888808,271
"Phycocyanins, water, filtered, recoverable, micrograms per liter",16,"WQ_Value_log_MCI",0.811258612794134,0.0167655201245165,2.5551966782872,1.11071463358748e-08,0.841214763388694,0.890384267377643,0.706983684102937,22
