Method_Description,huc2,Algorithms,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE,freq
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",1,WQ_Value_TwoBDA,0.170033576,16.03019798,-9.179576259,3.17E-06,0.173016274,13.7870991,7.028449406,119
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",2,WQ_Value_log_TwoBDA,0.096529766,1.49057713,0.615219857,0.026485692,0.15662612,0.739482568,0.616494544,51
"Chlorophyll a, phytoplankton, chromatographic-spectrophotometric method, micrograms per liter",2,WQ_Value_TwoBDA,0.157939673,9.521003099,-6.612381371,0.007556211,0.206755091,3.012990478,2.093943448,44
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",3,WQ_Value_NDCI,0.236303925,112.099203,19.67255514,1.68E-07,0.28917979,16.02428118,11.98327054,104
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",4,WQ_Value_NDCI,0.010265815,-2.101157915,2.048672555,0.429447384,0.143913758,1.394096807,0.993470459,63
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",4,WQ_Value_TwoBDA,0.194782229,9.31987195,-3.376257171,0.001501794,0.255787257,3.807069816,2.811525213,49
"Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll",4,WQ_Value_log_B6,0.001515403,-0.000117446,-0.809984471,0.899525271,0.398119913,1.32528442,1.065749684,13
"Chlorophyll fluorescence (fChl), water, in situ, fluorometric method, excitation at 470 +-15 nm, emission at 685 +-20 nm, relative fluorescence units (RFU)",4,WQ_Value_MCI,0.066059857,-0.009276978,3.801479702,0.170341483,0.198315976,3.120090564,2.194895447,30
"Chlorophyll relative fluorescence (fChl), water, in situ, relative fluorescence units (RFU)",4,WQ_Value_B4,0.008403998,-8.43E-05,0.198586564,0.765813596,0.412914931,0.263675544,0.20569693,13
"Phycocyanins, water, filtered, recoverable, micrograms per liter",4,WQ_Value_ThreeBDA,0.037905399,-0.00020486,0.434126565,0.504781723,0.429486684,0.576110696,0.498270896,14
"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",5,WQ_Value_NDCI,0.211470873,70.23128059,20.00204662,0.041345603,0.448102301,8.260775587,6.800918005,20
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",5,WQ_Value_log_TwoBDA,0.37674948,3.165725954,-0.327793036,1.41E-09,0.398432861,0.577333867,0.461879862,80
YSI EXO Collected Field Total Blue Green Algae,5,WQ_Value_TwoBDA,0.588237806,3.646699523,-2.961024709,3.36E-11,0.539629031,0.91029696,0.732936367,52
YSI EXO Collected Field Total Chlorophyll,5,WQ_Value_TwoBDA,0.398131948,24.95015138,-21.30660757,2.28E-08,0.359581907,9.266427551,5.413808981,64
"Chlorophyll a, water, trichromatic method, uncorrected, micrograms per liter",7,WQ_Value_B5,0.098419368,0.006720126,3.85758032,7.85E-05,0.116525233,5.384465307,3.654724933,153
