Algorithm_Method,R_Squared,Slope,Intercept,P_Value,CV_R_Squared,RMSE,MAE,MAPE,Temporal_Window
NDCIChl1,0.40,141.28,21.19,0.00,0.40,24.50,17.31,93.13,5
2BDAChl1,0.34,34.16,-10.11,0.00,0.34,25.79,18.34,99.75,5
MCIChl1,0.32,0.08,28.48,0.00,0.32,26.13,18.69,105.26,5
2BDAChl3,0.28,51.58,-37.48,0.00,0.28,10.94,8.73,72.22,5
NDCIChl3,0.26,107.85,14.48,0.00,0.27,11.05,8.94,74.73,5
2BDAChl2,0.22,20.25,-7.98,0.00,0.23,7.24,5.96,50.37,5
NDCIChl2,0.21,45.11,12.46,0.00,0.21,7.26,5.98,51.05,5
MCIChl2,0.16,0.02,14.42,0.00,0.16,7.49,6.31,55.47,5
3BDAChl2,0.06,-0.01,12.14,0.00,0.06,7.91,6.51,56.54,5
MCIChl3,0.01,0.01,17.39,0.25,0.02,12.85,10.55,87.81,5
3BDAChl1,0.01,-0.01,29.83,0.00,0.01,31.45,23.81,140.19,5
3BDAChl3,0.00,0.00,17.94,0.83,0.01,12.92,10.58,89.03,5
2BDAChl3,0.40,57.36,-44.99,0.00,0.40,10.29,8.01,69.18,3
NDCIChl1,0.39,144.85,22.05,0.00,0.39,26.73,18.33,96.47,3
NDCIChl3,0.37,119.04,12.91,0.00,0.38,10.80,8.45,73.66,3
2BDAChl1,0.34,36.59,-12.06,0.00,0.34,27.85,19.17,100.40,3
MCIChl1,0.30,0.09,29.39,0.00,0.31,28.83,20.07,109.19,3
2BDAChl2,0.23,21.11,-8.30,0.00,0.24,6.91,5.71,50.45,3
NDCIChl2,0.22,45.63,13.05,0.00,0.22,7.07,5.84,51.05,3
MCIChl2,0.12,0.01,14.77,0.00,0.14,7.37,6.17,55.80,3
MCIChl3,0.05,0.03,15.64,0.03,0.09,12.99,10.14,85.01,3
3BDAChl2,0.02,0.00,13.12,0.15,0.06,7.84,6.49,56.79,3
3BDAChl3,0.00,0.00,16.61,0.90,0.02,13.22,10.60,90.36,3
3BDAChl1,0.01,-0.01,32.18,0.08,0.02,34.57,25.74,145.52,3
2BDAChl3,0.60,104.11,-86.95,0.00,0.63,15.89,12.65,78.06,1
NDCIChl3,0.59,229.47,18.17,0.00,0.62,16.20,13.06,86.92,1
NDCIChl1,0.51,203.97,21.08,0.00,0.51,26.16,18.28,96.70,1
2BDAChl1,0.50,59.40,-36.31,0.00,0.51,26.72,18.34,91.41,1
MCIChl1,0.41,0.12,30.49,0.00,0.41,28.38,19.61,104.52,1
NDCIChl2,0.28,48.90,13.19,0.00,0.33,6.70,5.44,42.70,1
2BDAChl2,0.27,21.27,-8.24,0.00,0.32,6.61,5.28,42.25,1
MCIChl2,0.21,0.02,15.33,0.00,0.26,7.21,6.13,48.30,1
3BDAChl2,0.15,-0.01,11.46,0.01,0.21,7.40,5.91,45.36,1
MCIChl3,0.08,0.08,26.30,0.04,0.14,23.30,19.92,137.22,1
3BDAChl1,0.03,-0.02,28.60,0.01,0.05,36.67,27.25,149.21,1
3BDAChl3,0.00,0.00,26.88,0.75,0.02,24.23,21.08,152.77,1
